Trade Date,Contract Ticker,Traded Amount,Avg Price Traded
30/04/2019,CCN9 Comdty,-3,2359
30/04/2019,CDM9 Curncy,-110,74.755
30/04/2019,ESM9 Index,28,2948.5
30/04/2019,JYM9 Curncy,-85,90.095
30/04/2019,MESM9 Index,14,1080.2
30/04/2019,RTYM9 Index,20,1594.2
30/04/2019,TYM9 Comdty,93,123.671875
30/04/2019,USM9 Comdty,41,147.46875
01/05/2019,CDM9 Curncy,44,74.6965
01/05/2019,JYM9 Curncy,13,90.2908
01/05/2019,TYM9 Comdty,4,123.5938
01/05/2019,USM9 Comdty,8,147.7188
01/05/2019,ESM9 Index,2,2933.25
01/05/2019,MESM9 Index,-1,1072.3
02/05/2019,CCN9 Comdty,-4,2363
02/05/2019,JYM9 Curncy,-5,89.995
02/05/2019,CDM9 Curncy,-27,74.363
02/05/2019,ESM9 Index,-5,2915.25
02/05/2019,MESM9 Index,-2,1074.25
02/05/2019,RTYM9 Index,-7,1581.4714
03/05/2019,CCN9 Comdty,2,2387
03/05/2019,CDM9 Curncy,-11,74.5386
03/05/2019,USM9 Comdty,-3,147.2813
03/05/2019,TYM9 Comdty,-20,123.3281
03/05/2019,RTYM9 Index,4,1615.375
06/05/2019,JYM9 Curncy,19,90.5116
06/05/2019,CDM9 Curncy,22,74.4673
06/05/2019,RTYM9 Index,6,1620.1667
06/05/2019,MESM9 Index,6,1064.3
06/05/2019,ESM9 Index,3,2935
07/05/2019,CCN9 Comdty,-1,2298
07/05/2019,JYM9 Curncy,11,91.015
07/05/2019,CDM9 Curncy,-2,74.21
07/05/2019,USM9 Comdty,15,148.7188
07/05/2019,TYM9 Comdty,24,124.0156
07/05/2019,MESM9 Index,-8,1039.2
07/05/2019,RTYM9 Index,2,1579.2
08/05/2019,CCN9 Comdty,-2,2318.6
08/05/2019,JYM9 Curncy,29,91.0772
08/05/2019,CDM9 Curncy,-34,74.2719
08/05/2019,TYM9 Comdty,30,123.75
08/05/2019,USM9 Comdty,21,148.25
08/05/2019,ESM9 Index,-10,2893.5
08/05/2019,MESM9 Index,-5,1043.4429
08/05/2019,RTYM9 Index,-7,1579.5
09/05/2019,JYM9 Curncy,7,91.4012
09/05/2019,USM9 Comdty,-6,148.5625
09/05/2019,TYM9 Comdty,-14,123.9531
10/05/2019,CCN9 Comdty,1,2309
10/05/2019,JYM9 Curncy,25,91.2603
10/05/2019,CDM9 Curncy,17,74.6003
10/05/2019,USM9 Comdty,7,148.625
10/05/2019,TYM9 Comdty,16,123.9688
10/05/2019,ESM9 Index,-1,2877
10/05/2019,RTYM9 Index,-4,1570.8
10/05/2019,MESM9 Index,-4,1029.3
13/05/2019,CDM9 Curncy,31,74.2806
13/05/2019,JYM9 Curncy,-16,91.6858
13/05/2019,TYM9 Comdty,7,124.4688
13/05/2019,MESM9 Index,2,995.3
13/05/2019,RTYM9 Index,3,1522.9
13/05/2019,ESM9 Index,3,2807
14/05/2019,JYM9 Curncy,35,91.4502
14/05/2019,CDM9 Curncy,-23,74.3546
14/05/2019,TYM9 Comdty,10,124.3281
14/05/2019,USM9 Comdty,10,149.2125
14/05/2019,ESM9 Index,-12,2841.25
14/05/2019,RTYM9 Index,-13,1545.5769
14/05/2019,MESM9 Index,-6,1010.8444
15/05/2019,CDM9 Curncy,-8,74.5031
15/05/2019,JYM9 Curncy,-19,91.5021
15/05/2019,MESM9 Index,3,1011.9333
15/05/2019,RTYM9 Index,2,1551.4
15/05/2019,ESM9 Index,1,2855
16/05/2019,CCN9 Comdty,1,2354
16/05/2019,CDM9 Curncy,27,74.3209
16/05/2019,USM9 Comdty,-2,149.4375
16/05/2019,MESM9 Index,-1,1006.8
17/05/2019,CCN9 Comdty,4,2358.7143
