Date,CCN9 Comdty,CCU9 Comdty,CDM9 Curncy,CDU9 Curncy,ESM9 Index,ESU9 Index,JYM9 Curncy,JYU9 Curncy,MESM9 Index,MESU9 Index,RTYM9 Index,RTYU9 Index,TYM9 Comdty,TYU9 Comdty,USM9 Comdty,USU9 Comdty
30/04/2019,2359,2370,74.755,74.91,2948.5,2954.25,90.095,90.745,1080.2,1074.5,1594.2,1598.4,123.671875,123.890625,147.46875,146.8125
01/05/2019,2315,2327,74.43,74.58,2923,2928.75,89.9,90.55,1072.3,1066.6,1577.6,1581.9,123.578125,123.796875,147.59375,146.9375
02/05/2019,2374,2376,74.32,74.47,2917.5,2923.25,89.99,90.64,1074,1068.3,1585.8,1590,123.171875,123.375,146.9375,146.3125
03/05/2019,2379,2383,74.55,74.705,2947.5,2953.5,90.31,90.965,1087.4,1081.7,1617.3,1621.6,123.34375,123.546875,147.375,146.75
06/05/2019,2340,2347,74.495,74.645,2932.5,2938,90.46,91.11,1064.7,1059.3,1617.5,1621.9,123.625,123.84375,147.8125,147.15625
07/05/2019,2301,2307,74.26,74.41,2890.75,2895.75,90.98,91.635,1043.3,1037.9,1590.2,1594.2,124.015625,124.265625,148.75,148.09375
08/05/2019,2305,2307,74.275,74.425,2887.25,2892.25,91.085,91.74,1041.9,1036.5,1581.3,1585.1,123.75,123.984375,148.21875,147.5625
09/05/2019,2336,2337,74.345,74.495,2872.75,2877.75,91.43,92.085,1024.4,1019.3,1572.1,1576.1,123.984375,124.234375,148.6875,148.03125
10/05/2019,2312,2314,74.575,74.72,2887,2891.75,91.24,91.895,1030.8,1025.7,1578.6,1582.5,123.984375,124.234375,148.65625,148.03125
13/05/2019,2287,2291,74.305,74.45,2807,2811.5,91.71,92.37,996.8,993.5,1520.1,1523.5,124.421875,124.6875,149.46875,148.84375
14/05/2019,2293,2286,74.315,74.46,2839.25,2843.75,91.46,92.115,1010.5,1007.1,1546.1,1549.8,124.328125,124.59375,149.1875,148.5625
15/05/2019,2321,2312,74.475,74.625,2855,2859.5,91.52,92.175,1011.9,1008.5,1551.5,1555.2,124.671875,124.953125,149.875,149.25
16/05/2019,2372,2364,74.34,74.49,2878.5,2883.25,91.24,91.895,1007.2,1003,1559.9,1563.6,124.421875,124.703125,149.4375,148.8125
17/05/2019,2353,2354,74.435,74.585,2862,2866.5,91.02,91.675,989.5,985.3,1537.6,1541.2,124.484375,124.78125,149.6875,149.0625
20/05/2019,2387,2383,74.495,74.65,2844,2848.25,91.12,91.775,985.2,981,1526.8,1530.3,124.28125,124.5625,149.375,148.75
21/05/2019,2446,2437,74.66,74.81,2866,2870.75,90.58,91.23,997.2,993,1546.3,1550,124.140625,124.40625,149.1875,148.5625
22/05/2019,2413,2414,74.515,74.665,2857.5,2862.25,90.85,91.505,993.3,989.1,1533.8,1537.6,124.4375,124.71875,149.71875,149.09375
23/05/2019,2426,2428,74.195,74.345,2819.5,2824,91.495,92.15,979,974.8,1502.1,1505.7,125.203125,125.53125,151.4375,150.8125
24/05/2019,2467,2462,74.435,74.59,2831.75,2836.5,91.585,92.245,980.4,976.2,1517.7,1521.2,124.890625,125.1875,150.96875,150.34375
27/05/2019,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,980.4,976.2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
28/05/2019,2450,2456,74.175,74.33,2805,2809.5,91.475,92.13,982.9,978.7,1505.8,1509.4,125.390625,125.71875,152.03125,151.40625
29/05/2019,2438,2445,73.99,74.145,2780,2784.25,91.5,92.15,989.8,985.8,1488.9,1492.4,125.625,125.953125,152.75,152.125
30/05/2019,2428,2434,74.055,74.21,2790.5,2794.5,91.39,92.035,995.4,990.8,1486.4,1490.1,125.6875,126.015625,153.0625,152.4375
31/05/2019,2400,2406,73.985,74.135,2752.5,2756,92.365,93.01,1000.2,995.1,1466.5,1469.8,126.375,126.75,154.375,153.71875
03/06/2019,2351,2357,74.45,74.595,2749.5,2752.5,92.66,93.3,1008.5,1003.6,1472.3,1475.6,126.890625,127.28125,155.25,154.59375
04/06/2019,2360,2372,74.675,74.815,2805,2808.5,92.635,93.275,1009.2,1004,1506.9,1510.4,126.59375,126.953125,154.34375,153.6875
05/06/2019,2401,2405,74.515,74.65,2827.75,2831.25,92.315,92.945,1001.5,996.4,1505.8,1509.3,126.640625,126.984375,154.0625,153.40625
06/06/2019,2427,2432,74.815,74.955,2845.75,2849.5,92.275,92.91,1001.9,996.7,1502.5,1506,126.609375,126.9375,154.1875,153.53125
07/06/2019,2478,2466,75.365,75.49,2875,2878.5,92.505,93.14,1010.2,1005.2,1512.6,1516.1,126.890625,127.21875,155.1875,154.53125
10/06/2019,2544,2503,75.375,75.505,2889.25,2893.25,92.28,92.91,1020.1,1015.2,1522.6,1526,126.4375,126.75,154.125,153.46875
11/06/2019,2539,2504,75.275,75.41,2887,2891,92.215,92.845,1031.8,1027,1518.1,1521.7,126.4375,126.796875,154.25,153.59375
12/06/2019,2568,2541,75.02,75.155,2881,2885,92.2,92.83,1019.9,1014.9,1521.6,1525.3,126.640625,126.984375,154.25,153.59375
13/06/2019,2527,2510,75.05,75.18,2894.5,2898.5,92.33,92.955,1019.1,1014,1535.7,1539.3,127,127.359375,154.90625,154.25
14/06/2019,2502,2496,74.53,74.665,2890.5,2894.75,92.12,92.75,1007.5,1001.9,1524.7,1528.3,126.9375,127.296875,154.96875,154.34375
17/06/2019,2500,2479,74.55,74.68,2892,2896.25,92.095,92.74,1011.8,1006.7,1534,1537.8,126.96875,127.328125,155.25,154.625
18/06/2019,2529,2500,74.63,74.865,2921.75,2926.25,n.a.,92.84,1036.9,1031.8,1551.2,1554.9,127.140625,127.5,155.625,155
19/06/2019,2538,2513,n.a.,75.375,2929,2933.5,n.a.,93.24,1043.7,1040,1556.2,1559.7,126.90625,127.859375,155,155.4375
20/06/2019,2471,2446,n.a.,75.925,2955.75,2960,n.a.,93.82,1059.5,1055,1563.4,1566.7,n.a.,128.0625,n.a.,155.71875
21/06/2019,2527,2502,n.a.,75.83,2953.9,2950.5,n.a.,93.68,1053.22,1050.3,1554.55,1552,n.a.,127.515625,n.a.,154.59375
24/06/2019,2512,2487,n.a.,75.95,n.a.,2952,n.a.,93.755,n.a.,1050.2,n.a.,1537.3,n.a.,127.9375,n.a.,155.40625
25/06/2019,2489,2464,n.a.,75.985,n.a.,2922,n.a.,93.905,n.a.,1039.3,n.a.,1525,n.a.,128.125,n.a.,155.90625
26/06/2019,2486,2461,n.a.,76.385,n.a.,2918,n.a.,93.3,n.a.,1048.8,n.a.,1521.2,n.a.,127.59375,n.a.,154.96875
27/06/2019,2478,2453,n.a.,76.5,n.a.,2931,n.a.,93.34,n.a.,1056.1,n.a.,1549.8,n.a.,127.9375,n.a.,155.71875
28/06/2019,2450,2425,n.a.,76.555,n.a.,2944.25,n.a.,93.31,n.a.,1053.4,n.a.,1567.1,n.a.,127.96875,n.a.,155.59375
01/07/2019,2526,2501,n.a.,76.205,n.a.,2967.75,n.a.,92.705,n.a.,1067.5,n.a.,1573.6,n.a.,127.6875,n.a.,155
02/07/2019,2497,2472,n.a.,76.385,n.a.,2979.5,n.a.,93.25,n.a.,1064.5,n.a.,1566.3,n.a.,128.140625,n.a.,156.09375
03/07/2019,2458,2433,n.a.,76.615,n.a.,3000.25,n.a.,93.24,n.a.,1062,n.a.,1578,n.a.,128.25,n.a.,156.65625
04/07/2019,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1062,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
05/07/2019,2488,2463,n.a.,76.53,n.a.,2990.5,n.a.,92.585,n.a.,1054.7,n.a.,1579.4,n.a.,127.46875,n.a.,154.96875
08/07/2019,2602,2577,n.a.,76.465,n.a.,2978.5,n.a.,92.445,n.a.,1048.1,n.a.,1564.7,n.a.,127.5,n.a.,155.40625
09/07/2019,2547,2522,n.a.,76.29,n.a.,2982,n.a.,92.325,n.a.,1045,n.a.,1565.2,n.a.,127.296875,n.a.,155.09375
